09-23-2026 12:05:06 RAM 13470/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [15%@2201,13%@2201,12%@2201,13%@2201,12%@2201,9%@2201,9%@2201,12%@2201,10%@2201,32%@2201,21%@2201,10%@2201] GR3D_FREQ 0% cpu@68.687C soc2@62.531C soc0@63.281C gpu@61.531C tj@68.687C soc1@63.718C VDD_GPU_SOC 5304mW/5304mW VDD_CPU_CV 4544mW/4544mW VIN_SYS_5V0 5124mW/5124mW
09-23-2026 12:05:07 RAM 13572/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [78%@2201,7%@2201,7%@2201,7%@2201,6%@2201,7%@2201,6%@2201,6%@2201,8%@2201,27%@2201,7%@2201,6%@2201] GR3D_FREQ 0% cpu@66.531C soc2@62.468C soc0@63.218C gpu@61.375C tj@66.531C soc1@63.656C VDD_GPU_SOC 5306mW/5305mW VDD_CPU_CV 3408mW/3976mW VIN_SYS_5V0 5224mW/5174mW
09-23-2026 12:05:08 RAM 13610/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [99%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@66.406C soc2@62.218C soc0@62.968C gpu@61.125C tj@66.406C soc1@63.281C VDD_GPU_SOC 5306mW/5305mW VDD_CPU_CV 3031mW/3661mW VIN_SYS_5V0 5224mW/5191mW
09-23-2026 12:05:09 RAM 13649/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [99%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@66.406C soc2@62.031C soc0@62.875C gpu@60.968C tj@66.406C soc1@63.218C VDD_GPU_SOC 5306mW/5306mW VDD_CPU_CV 3031mW/3504mW VIN_SYS_5V0 5024mW/5149mW
09-23-2026 12:05:10 RAM 13651/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [100%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@65.968C soc2@61.843C soc0@62.781C gpu@60.781C tj@65.968C soc1@63.093C VDD_GPU_SOC 5308mW/5306mW VDD_CPU_CV 2652mW/3333mW VIN_SYS_5V0 5325mW/5184mW
09-23-2026 12:05:11 RAM 13559/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [22%@2201,14%@2201,13%@2201,14%@2201,13%@2201,13%@2201,14%@2201,15%@2201,13%@2201,91%@2201,13%@2201,13%@2201] GR3D_FREQ 0% cpu@66.281C soc2@61.593C soc0@62.656C gpu@60.625C tj@66.281C soc1@63.093C VDD_GPU_SOC 5306mW/5306mW VDD_CPU_CV 3409mW/3346mW VIN_SYS_5V0 5224mW/5191mW
09-23-2026 12:05:12 RAM 13603/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@65.843C soc2@61.375C soc0@62.656C gpu@60.468C tj@65.843C soc1@62.937C VDD_GPU_SOC 5308mW/5306mW VDD_CPU_CV 3031mW/3301mW VIN_SYS_5V0 5124mW/5181mW
09-23-2026 12:05:13 RAM 13635/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [2%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,98%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@65.781C soc2@61.375C soc0@62.562C gpu@60.312C tj@65.781C soc1@62.843C VDD_GPU_SOC 5306mW/5306mW VDD_CPU_CV 3031mW/3267mW VIN_SYS_5V0 5224mW/5187mW
09-23-2026 12:05:14 RAM 13675/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,99%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@65.75C soc2@61.093C soc0@62.437C gpu@60.218C tj@65.75C soc1@62.906C VDD_GPU_SOC 5306mW/5306mW VDD_CPU_CV 3031mW/3241mW VIN_SYS_5V0 5224mW/5191mW
09-23-2026 12:05:15 RAM 13709/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@65.656C soc2@61.031C soc0@62.125C gpu@60.125C tj@65.656C soc1@62.562C VDD_GPU_SOC 5308mW/5306mW VDD_CPU_CV 3031mW/3220mW VIN_SYS_5V0 4923mW/5164mW
09-23-2026 12:05:16 RAM 13739/30697MB (lfb 146x4MB) SWAP 2516/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,99%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@65.718C soc2@60.937C soc0@62.093C gpu@60.062C tj@65.718C soc1@62.437C VDD_GPU_SOC 5306mW/5306mW VDD_CPU_CV 3031mW/3203mW VIN_SYS_5V0 5124mW/5160mW
