09-24-2026 08:33:03 RAM 7187/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [31%@2201,14%@2201,21%@2201,9%@2201,22%@2201,19%@2201,21%@2201,18%@2201,15%@2201,16%@2201,11%@2201,26%@2201] GR3D_FREQ 0% cpu@62.187C soc2@56.843C soc0@57.843C gpu@55.968C tj@62.187C soc1@58.375C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 4167mW/4167mW VIN_SYS_5V0 5325mW/5325mW
09-24-2026 08:33:04 RAM 7390/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [15%@2201,13%@2201,14%@2201,20%@2201,97%@2201,12%@2201,16%@2201,14%@2201,14%@2201,13%@2201,16%@2201,14%@2201] GR3D_FREQ 0% cpu@62.406C soc2@56.625C soc0@57.843C gpu@55.718C tj@62.406C soc1@58.437C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 3411mW/3789mW VIN_SYS_5V0 5224mW/5275mW
09-24-2026 08:33:05 RAM 7418/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,98%@2201,2%@2201,0%@2201,0%@2201,1%@2201,2%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@61.281C soc2@56.531C soc0@57.718C gpu@55.625C tj@61.281C soc1@58.343C VDD_GPU_SOC 5311mW/5309mW VDD_CPU_CV 3033mW/3537mW VIN_SYS_5V0 5224mW/5258mW
09-24-2026 08:33:06 RAM 7468/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [4%@2201,2%@2201,0%@2201,3%@2201,0%@2201,93%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.468C soc2@56.5C soc0@57.687C gpu@55.625C tj@61.468C soc1@58.25C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 3033mW/3411mW VIN_SYS_5V0 5124mW/5224mW
09-24-2026 08:33:07 RAM 7478/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [2%@2201,1%@2201,2%@2201,4%@2201,72%@2201,16%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.281C soc2@56.406C soc0@57.718C gpu@55.468C tj@61.281C soc1@58.375C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 2654mW/3260mW VIN_SYS_5V0 5224mW/5224mW
09-24-2026 08:33:08 RAM 7337/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [13%@2201,14%@2201,44%@2201,16%@2201,68%@2201,13%@2201,14%@2201,13%@2201,14%@2201,13%@2201,14%@2201,14%@2201] GR3D_FREQ 0% cpu@61.281C soc2@56.375C soc0@57.781C gpu@55.375C tj@61.281C soc1@57.875C VDD_GPU_SOC 5311mW/5310mW VDD_CPU_CV 4548mW/3474mW VIN_SYS_5V0 5224mW/5224mW
09-24-2026 08:33:09 RAM 7420/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [0%@2201,1%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.875C soc2@56.125C soc0@57.312C gpu@55.312C tj@60.875C soc1@57.875C VDD_GPU_SOC 5313mW/5310mW VDD_CPU_CV 3033mW/3411mW VIN_SYS_5V0 5124mW/5210mW
09-24-2026 08:33:10 RAM 7453/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [5%@2201,4%@2201,99%@2201,1%@2201,7%@2201,0%@2201,0%@2201,0%@2201,4%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@60.593C soc2@56.156C soc0@57.343C gpu@55.312C tj@60.593C soc1@57.812C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 3033mW/3364mW VIN_SYS_5V0 5124mW/5199mW
09-24-2026 08:33:11 RAM 7510/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [1%@2201,0%@2201,97%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.343C soc2@56.062C soc0@57.25C gpu@55.156C tj@60.343C soc1@57.812C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 3033mW/3327mW VIN_SYS_5V0 5124mW/5191mW
09-24-2026 08:33:12 RAM 7544/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [1%@2201,0%@2201,100%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,2%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.343C soc2@55.906C soc0@57.25C gpu@55.093C tj@60.343C soc1@57.781C VDD_GPU_SOC 4933mW/5273mW VDD_CPU_CV 3033mW/3298mW VIN_SYS_5V0 5124mW/5184mW
09-24-2026 08:33:13 RAM 7604/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [6%@2201,6%@2201,74%@2201,26%@2201,6%@2201,6%@2201,53%@2201,10%@2201,7%@2201,14%@2201,9%@2201,6%@2201] GR3D_FREQ 0% cpu@60.75C soc2@55.906C soc0@57.312C gpu@55.218C tj@60.75C soc1@57.75C VDD_GPU_SOC 5308mW/5276mW VDD_CPU_CV 4169mW/3377mW VIN_SYS_5V0 5224mW/5188mW
